No.,Package Name,Total Package Cost,Total Qualifying Cost,Solution Details,Cost Item
Option 1,BIPO Human Resource Management System - BIPO LITE 50,"$11,500.00","$11,500.00",https://www.gobusiness.gov.sg/images/psg/BIPO_Service_20200561_Desensitised_Annex_3_Part_1.pdf,"1)
Software
1) e-Personnel + Mobile App 
2) e-Leave + Mobile App 
3) e-Payroll + Mobile App 
4) e-Claim + Mobile App
5) e-Appraisal + Mobile App
2) Hardware
Not Applicable
3)
Professional Services
- Setup of Personnel, Leave, Payroll, Claims and
Appraisal System according to company and
statutory policies
- Data Conversion of Employee Personal Details
- Data Conversion of Active Year Leave Balance
- Data Conversion of Active Year Payroll Records
- Data Conversion of Active Year Claims Balance
4)
Training
- Online Video Training (Up to 4.0 Hours) 
- Online Software Knowledge Base Will be Provided
5) Others
Not Applicable"
Option 2,BIPO Human Resource Management System - BIPO LITE 100,"$15,500.00","$15,500.00",https://www.gobusiness.gov.sg/images/psg/BIPO_Service_20200561_Desensitised_Annex_3_Part_2.pdf,"1)
Software
1) e-Personnel + Mobile App 
2) e-Leave + Mobile App 
3) e-Payroll + Mobile App 
4) e-Claim + Mobile App
5) e-Appraisal + Mobile App
2) Hardware
Not Applicable
3)
Professional Services
- Setup of Personnel, Leave, Payroll, Claims and
Appraisal System according to company and
statutory policies
- Data Conversion of Employee Personal Details
- Data Conversion of Active Year Leave Balance
- Data Conversion of Active Year Payroll Records
- Data Conversion of Active Year Claims Balance
4)
Training
- Online Video Training (Up to 4.0 Hours) 
- Online Software Knowledge Base Will be Provided
5) Others
Not Applicable"
Option 3,BIPO Human Resource Management System - BIPO LITE 150,"$21,500.00","$20,700.00",https://www.gobusiness.gov.sg/images/psg/BIPO_Service_20200561_Desensitised_Annex_3_Part_3.pdf,"1)
Software
1) e-Personnel + Mobile App 
2) e-Leave + Mobile App 
3) e-Payroll + Mobile App 
4) e-Claim + Mobile App
5) e-Appraisal + Mobile App
2) Hardware
Not Applicable
3)
Professional Services
- Setup of Personnel, Leave, Payroll, Claims and
Appraisal System according to company and
statutory policies
- Data Conversion of Employee Personal Details
- Data Conversion of Active Year Leave Balance
- Data Conversion of Active Year Payroll Records
- Data Conversion of Active Year Claims Balance
4)
Training
- Online Video Training (Up to 4.0 Hours) 
- Online Software Knowledge Base Will be Provided
5) Others
Not Applicable"
Option 1,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (1 concurrent user - 30 Employees),"$3,599.00","$3,599.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_1.pdf,"1)
Software
E-Leave System
E-Claim System
Million Payroll Software 30
E-Documentation
E-Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Onsite installation for 1 PC
Configuration for 1 format
4)
Training
Onsite training for up to 6 hours
5) Others
Not Applicable"
Option 2,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (1 concurrent user - 60 Employees),"$5,399.00","$5,399.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_2.pdf,"1)
Software
E-Leave System
E-Claim System
Million Payroll Software 60
E-Documentation
E-Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Onsite installation for 3 PCs
Configuration for 1 format
4)
Training
Onsite training for up to 6 hours
5) Others
Not Applicable"
Option 3,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (1 concurrent user - Unlimited Employees),"$7,199.00","$7,199.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_3.pdf,"1)
Software
E-Leave System
E-Claim System
Million Payroll Software Unlimited
E-Documentation
E-Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Onsite installation for 3 PCs
Configuration for 1 format
4)
Training
Onsite training for up to 6 hours
5) Others
Not Applicable"
Option 4,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (3 concurrent users - Unlimited Employees),"$7,999.00","$7,999.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_4.pdf,"1)
Software
E-Leave System
E-Claim System
Million Payroll Software Unlimited
Million Payroll Software Unlimited Add 2 Concurrent
Users
E-Documentation
E-Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Onsite installation for 3 PCs
Configuration for 1 format
4)
Training
Onsite training for up to 6 hours
5) Others
Not Applicable"
Option 5,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (5 concurrent users - Unlimited Employees),"$8,999.00","$8,999.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_5.pdf,"1)
Software
E-Leave System
E-Claim System
Million Payroll Software Unlimited
Million Payroll Software Unlimited Add 4 Concurrent
Users
E-Documentation
E-Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Onsite installation for 5 PCs
Configuration for 2 formats
4)
Training
Onsite training for up to 6 hours
5) Others
Not Applicable"
Option 1,WhyzeHR Version 12 - STANDARD 25,"$4,600.00","$4,600.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Software / Subscription Fee  
WhyzeHR STANDARD Software License for 25
employees:  
- Basic HR including career progression, education
records, family details, emergency contact, award,
appraisal, bond, certification, disciplinary, item
issue, item loan, job history, medical history, skill,
training and employee attachments. Generate HR
Letters including employment letter, promotion
letter, increment, bonus and acceptance of
resignation. Generate MOM Labour Market Survey
and other ad-hoc HR queries.  
- Payroll and Income Tax  
- Claim Administration  
- Report Analysis Tool  
- Management Dashboard  
- Access Control and Audit Trail  
- Email Alert  
- Import  
- Web Appraisal 
- Leave 
- Employee Self Services with eLeave  
- Mobile App for Employees
2) Hardware
Not Applicable
3)
Professional Services
Setup, Configuration, Consultancy & Data Migration
4)
Training
eLearning for up to 3 Pax and Employee & Manager
Briefing
5) Others
Not Applicable"
Option 2,WhyzeHR Version 12 - STANDARD 50,"$5,850.00","$5,850.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Software / Subscription Fee  
WhyzeHR STANDARD Software License for 50
employees:  
- Basic HR including career progression, education
records, family details, emergency contact, award,
appraisal, bond, certification, disciplinary, item
issue, item loan, job history, medical history, skill,
training and employee attachments. Generate HR
Letters including employment letter, promotion
letter, increment, bonus and acceptance of
resignation. Generate MOM Labour Market Survey
and other ad-hoc HR queries.  
- Payroll and Income Tax  
- Claim Administration  
- Report Analysis Tool  
- Management Dashboard  
- Access Control and Audit Trail  
- Email Alert  
- Import  
- Web Appraisal 
- Leave 
- Employee Self Services with eLeave  
- Mobile App for Employees
2) Hardware
Not Applicable
3)
Professional Services
Setup, Configuration, Consultancy & Data Migration
4)
Training
eLearning for up to 3 pax and Employee & Manager
Briefing
5) Others
Not Applicable"
Option 3,WhyzeHR Version 12 - STANDARD 100,"$9,200.00","$9,200.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_3.pdf,"1)
Software
WhyzeHR STANDARD Software License for 100
employees:  
- Basic HR including career progression, education
records, family details, emergency contact, award,
appraisal, bond, certification, disciplinary, item
issue, item loan, job history, medical history, skill,
training and employee attachments. Generate HR
Letters including employment letter, promotion
letter, increment, bonus and acceptance of
resignation. Generate MOM Labour Market Survey
and other ad-hoc HR queries.  
- Payroll and Income Tax  
- Claim Administration  
- Report Analysis Tool  
- Management Dashboard  
- Access Control and Audit Trail  
- Email Alert  
- Import  
- Web Appraisal 
- Leave 
- Employee Self Services with eLeave  
- Mobile App for Employees
2) Hardware
Not Applicable
3)
Professional Services
Setup, Configuration, Consultancy & Data Migration
4)
Training
eLearning for up to 4 Pax and Employee & Manager
briefing
5) Others
Not Applicable"
Option 4,WhyzeHR Version 12 - STANDARD 200,"$13,800.00","$13,800.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Software / Subscription Fee WhyzeHR STANDARD
Software License for 200 employees: 
- Basic HR including career progression, education
records, family details, emergency contact, award,
appraisal, bond, certification, disciplinary, item
issue, item loan, job history, medical history, skill,
training and employee attachments. Generate HR
Letters including employment letter, promotion
letter, increment, bonus and acceptance of
resignation. Generate MOM Labour Market Survey
and other ad-hoc HR queries. 
- Payroll and Income Tax 
- Claim Administration 
- Report Analysis Tool 
- Management Dashboard 
- Access Control and Audit Trail 
- Email Alert 
- Import 
- Web Appraisal 
- Leave 
- Employee Self Services with eLeave 
- Mobile App for Employees
2) Hardware
Not Applicable
3)
Professional Services
Setup, Configuration, Consultancy & Data Migration
4)
Training
eLearning for up to 5 Pax and Employee & Manager
briefing
5) Others
Not Applicable"
Option 5,WhyzeHR Version 12 - STANDARD PLUS 150,"$16,900.00","$16,900.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Software / Subscription Fee WhyzeHR STANDARD
PLUS Software License for 150 employees: 
- Basic HR including career progression, education
records, family details, emergency contact, award,
appraisal, bond, certification, disciplinary, item
issue, item loan, job history, medical history, skill,
training and employee attachments. Generate HR
Letters including employment letter, promotion
letter, increment, bonus and acceptance of
resignation. Generate MOM Labour Market Survey
and other ad-hoc HR queries. 
- Payroll and Income Tax 
- Claim Administration 
- Report Analysis Tool 
- Management Dashboard 
- Access Control and Audit Trail 
- Email Alert 
- Import 
- Web Appraisal 
- Leave 
- Employee Self Services with eLeave 
- Mobile App for Employees 
- Form designer that supports multiple columns,
electronic signature, field visibility setting by
hierarchy and grading report by percentile rank
2) Hardware
Not Applicable
3)
Professional Services
Setup, Configuration, Consultancy & Data Migration
4)
Training
eLearning for up to 5 Pax, ESS Employee &
Manager briefing, and Appraisal Plus briefing
5) Others
Not Applicable"
Option 1,OpensoftHR Version 18 - Enterprise (25 pax),"$7,400.00","$6,300.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Modules include:
- Payroll Management
- Leave Management
- Claims Management
- Performance Appraisal Management
- Employee Management
- Employee Self-Service 
- System Manager
2) Hardware
Not Applicable
3)
Professional Services
Implementation Consultancy
Setup, Configuration and Installation
4)
Training
Administrator and User Training (Max 3 pax)
5) Others
Not Applicable"
Option 2,OpensoftHR Version 18 - Enterprise (50 pax),"$9,900.00","$9,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Modules include:
- Payroll Management
- Leave Management
- Claims Management
- Performance Appraisal Management
- Employee Management
- Employee Self-Service 
- System Manager
2) Hardware
Not Applicable
3)
Professional Services
Implementation Consultancy
Setup, Configuration and Installation
4)
Training
Administrator and User Training (Max 3 pax)
5) Others
Not Applicable"
Option 3,OpensoftHR Version 18 - Enterprise (100 pax),"$13,900.00","$13,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Modules include:
- Payroll Management
- Leave Management
- Claims Management
- Performance Appraisal Management
- Employee Management
- Employee Self-Service 
- System Manager
2) Hardware
Not Applicable
3)
Professional Services
Implementation Consultancy
Setup, Configuration and Installation
4)
Training
Administrator and User Training (Max 3 pax)
5) Others
Not Applicable"
Option 4,OpensoftHR Version 18 - Enterprise (150 pax),"$16,900.00","$16,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Modules include:
- Payroll Management
- Leave Management
- Claims Management
- Performance Appraisal Management
- Employee Management
- Employee Self-Service 
- System Manager
2) Hardware
Not Applicable
3)
Professional Services
Implementation Consultancy
Setup, Configuration and Installation
4)
Training
Administrator and User Training (Max 3 pax)
5) Others
Not Applicable"
Option 5,OpensoftHR Version 18 - Enterprise (200 pax),"$19,900.00","$19,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Modules include:
- Payroll Management
- Leave Management
- Claims Management
- Performance Appraisal Management
- Employee Management
- Employee Self-Service 
- System Manager
2) Hardware
Not Applicable
3)
Professional Services
Implementation Consultancy
Setup, Configuration and Installation
4)
Training
Administrator and User Training (Max 3 pax)
5) Others
Not Applicable"
Option 1,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 1 (up to 25 pax),"$10,400.00","$10,400.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_1.pdf,"1)
Software
TIMES Software subscription of 25 employees for
one year
Modules include: ePayroll with ePayslip & eIRAS,
eEmployee, Leave, Timesheet, Appraisal, Claim.
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup
Modules include: ePayroll, eEmployee
Implementation/setup
Modules include:Payslip Standard, IR8E Standard,
Leave, Timesheet Standard, Appraisal Standard,
Claim Standard, Mobile Apps
Data Migration
Migration include: Master Employee Information &
Employee Career Progression & Payroll
Transactions (current year) & Claims Records
(current year) & Leave Records (current year) &
Family Records up to 25 headcount
4)
Training
Blocks of training by day on-site training for usage of
the software
5) Others
Not Applicable"
Option 2,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 2 (up to 50 pax),"$15,600.00","$14,400.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_2.pdf,"1)
Software
TIMES Software subscription of 50 employees for
one year
Modules include: ePayroll with ePayslip & eIRAS,
eEmployee, Leave, Timesheet, Appraisal, Claim.
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup
Modules include: ePayroll, eEmployee
Implementation/setup
Modules include:Payslip Standard, IR8E Standard,
Leave, Timesheet Standard, Appriaisal Standard,
Claim Standard, Mobile Apps
Data Migration
Migration include: Master Employee Information &
Employee Career Progression & Payroll
Transactions (current year) & Claims Records
(current year) & Leave Records (current year) &
Family Records up to 50 headcount
4)
Training
Blocks of training by day on-site training for usage of
the software
5) Others
Not Applicable"
Option 3,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 3 (up to 100 pax),"$22,800.00","$21,600.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_3.pdf,"1)
Software
TIMES Software subscription of 100 employees for
one year
Modules include: ePayroll with ePayslip & eIRAS,
eEmployee, Leave, Timesheet, Appraisal, Claim.
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup
Modules include: ePayroll, eEmployee
Implementation/setup
Modules include:Payslip Standard, IR8E Standard,
Leave, Timesheet Standard, Appraisal Standard,
Claim Standard, Mobile Apps
Data Migration
Migration include: Master Employee Information &
Employee Career Progression & Payroll
Transactions (current year) & Claims Records
(current year) & Leave Records (current year) &
Family Records up to 100 headcount
4)
Training
Blocks of training by day on-site training for usage of
software
5) Others
Not Applicable"
Option 4,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 4 (up to 150 pax),"$30,000.00","$27,000.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_4.pdf,"1)
Software
TIMES Software subscription of  150 employees for
one year
Modules include: ePayroll with ePayslip & eIRAS,
eEmployee, Leave, Timesheet, Appraisal, Claim.
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup
Modules include: ePayroll, eEmployee
Implementation/setup
Modules include:Payslip Standard, IR8E Standard,
Leave, Timesheet Standard, Appraisal Standard,
Claim Standard, Mobile Apps
Data Migration
Migration include: Master Employee Information &
Employee Career Progression & Payroll
Transactions (current year) & Claims Records
(current year) & Leave Records (current year) &
Family Records up to 150 headcount
4)
Training
Blocks of training by day on-site training for usage of
software
5) Others
Not Applicable"
Option 5,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 5 (up to 200 pax),"$38,000.00","$31,152.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_5.pdf,"1)
Software
TIMES Software subscription of 200 employees for
one year
Modules include: ePayroll with ePayslip & eIRAS,
eEmployee, Leave, Timesheet, Appraisal, Claim.
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup
Modules include: ePayroll, eEmployee
Implementation/setup
Modules include:Payslip Standard, IR8E Standard,
Leave, Timesheet Standard, Appraisal Standard,
Claim Standard, Mobile Apps
Data Migration
Migration include: Master Employee Information &
Employee Career Progression & Payroll
Transactions (current year) & Claims Records
(current year) & Leave Records (current year) &
Family Records up to 150 headcount
4)
Training
Blocks of training by day on-site training for usage of
software
5) Others
Not Applicable"
Option 1,Payboy HRMS - Package A (20 Employees),"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Payboy Payroll, HR, Benefits Cloud (Annual):
- Payroll Processing
- Leaves Management
- Claims Management
- Appraisal Management
- Attendance System
- Approval Management
- Covid Safe+
- Customisable Report Writer
2) Hardware
Not Applicable
3)
Professional Services
Professional Services: Setup of Organisation
Structure and Employee Database Migration of
Lump-sum Payroll Data (Year to Date) capped at the
following dataset:
- 20 employee records
- 20 Career history changes
- 240 payslips
- 20 Employee Leave balance records for Annual,
Outpatient and
Hospitalisation Leave
- 4 Types of Claim Setup
- 4 Approval groups
4)
Training
Online training for administrators and employees
5) Others
Not Applicable"
Option 2,Payboy HRMS - Package B (45 Employees),"$10,200.00","$10,200.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Payboy Payroll, HR, Benefits Cloud (Annual):
- Payroll Processing
- Leaves Management
- Claims Management
- Appraisal Management
- Attendance System
- Approval Management
- Covid Safe+
- Customisable Report Writer
2) Hardware
Not Applicable
3)
Professional Services
Professional Services: Setup of Organisation
Structure and Employee Database Migration of
Lump-sum Payroll Data (Year to Date) capped at the
following dataset:
- 45 employee records
- 45 Career history changes
- 540 payslips
- 45 Employee Leave balance records for Annual,
Outpatient and
Hospitalisation Leave
- 7 Different types of Claims
- 10 Approval groups
4)
Training
Online training for administrators and employees
5) Others
Not Applicable"
Option 3,Payboy HRMS - Package C (75 Employees),"$14,600.00","$14,600.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Payboy Payroll, HR, Benefits Cloud (Annual):
- Payroll Processing
- Leaves Management
- Claims Management
- Appraisal Management
- Attendance System
- Approval Management
- Covid Safe+
- Customisable Report Writer
2) Hardware
Not Applicable
3)
Professional Services
Professional Services: Setup of Organisation
Structure and Employee Database Migration of
Lump-sum Payroll Data (Year to Date) capped at the
following dataset:
- 75 employee records
- 900 payslips
- 75 Employee Leave balance records for Annual,
Outpatient and
Hospitalisation Leave
- 7 Different types of Claims
- 10 Approval groups
4)
Training
Online training for administrators and employees
5) Others
Not Applicable"
Option 4,Payboy HRMS - Package D (120 Employees),"$20,000.00","$20,000.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Payboy Payroll, HR, Benefits Cloud (Annual):
- Payroll Processing
- Leaves Management
- Claims Management
- Appraisal Management
- Attendance System
- Approval Management
- Covid Safe+
- Customisable Report Writer
2) Hardware
Not Applicable
3)
Professional Services
Professional Services: Setup of Organisation
Structure and Employee Database Migration of
Lump-sum Payroll Data (Year to Date) capped at the
following dataset:
- 120 employee records
- 1440 payslips
- 120 Employee Leave balance records for Annual,
Outpatient and
Hospitalisation Leave
- 7 Different types of Claims
- 10 Approval groups
4)
Training
Online training for administrators and employees
5) Others
Not Applicable"
Option 5,Payboy HRMS - Package E (200 Employees),"$29,600.00","$29,600.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Payboy Payroll, HR, Benefits Cloud (Annual):
- Payroll Processing
- Leaves Management
- Claims Management
- Appraisal Management
- Attendance System
- Approval Management
- Covid Safe+
- Customisable Report Writer
2) Hardware
Not Applicable
3)
Professional Services
Professional Services: Setup of Organisation
Structure and Employee Database Migration of
Lump-sum Payroll Data (Year to Date) capped at the
following dataset:
- 200 employee records
- 2400 payslips
- 200 Employee Leave balance records for Annual,
Outpatient and Hospitalisation Leave
- 7 Different types of Claims
- 10 Approval groups
4)
Training
Online training for administrators and employees
5) Others
Not Applicable"
Option 1,Carbonate HR Version 1 - Power 20,"$4,320.00","$4,320.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_1.pdf,"1)
Software
20 user Licence for 1 year
(Package is inclusive of Personnel management;
Attendance Management; Payroll management;
Leave Management; Benefits and Claims
Management; and Performance Appraisal
Management modules)
2) Hardware
Not Applicable
3)
Professional Services
Onboarding of users and data migration
4)
Training
Training for staff
5) Others
Not Applicable"
Option 2,Carbonate HR Version 1 - Power 50,"$9,600.00","$9,600.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_2.pdf,"1)
Software
50 user Licence for 1 year
(Package is inclusive of Personnel management;
Attendance Management; Payroll management;
Leave Management; Benefits and Claims
Management; and Performance Appraisal
Management modules)
2) Hardware
Not Applicable
3)
Professional Services
Onboarding of users and data migration
4)
Training
Training for staff
5) Others
Not Applicable"
Option 3,Carbonate HR Version 1 - Power 100,"$16,800.00","$16,800.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_3.pdf,"1)
Software
100 user Licence for 1 year
(Package is inclusive of Personnel management;
Attendance Management; Payroll management;
Leave Management; Benefits and Claims
Management; and Performance Appraisal
Management modules)
2) Hardware
Not Applicable
3)
Professional Services
Onboarding of users and data migration
4)
Training
Training for staff
5) Others
Not Applicable"
